,Description,UnitPrice,TotalReturned,Total$Returned,Unit_Sold,Total_Revenue,Net_Revenue,Return_Rate
1206,LOVE LARGE WOOD LETTERS,12.75,4,51.0,72.0,918.0,867.0,5.555555555555555
1207,LOVE SEAT ANTIQUE WHITE METAL,85.0,1,85.0,42.0,3570.0,3485.0,2.380952380952381
1208,LOVE SEAT ANTIQUE WHITE METAL,195.0,2,390.0,10.0,1950.0,1560.0,20.0
1209,LOVEBIRD HANGING DECORATION WHITE,0.85,26,22.099999999999998,2880.0,2448.0,2425.9,0.9027777777777777
1210,LUNCH BAG  BLACK SKULL.,1.45,45,65.25,2328.0,3375.6,3310.35,1.9329896907216495
1211,LUNCH BAG  BLACK SKULL.,1.65,63,103.95,7576.0,12500.4,12396.449999999999,0.8315733896515312
1212,LUNCH BAG ALPHABET DESIGN,1.45,398,577.1,1300.0,1885.0,1307.9,30.615384615384617
1213,LUNCH BAG ALPHABET DESIGN,1.65,39,64.35,4874.0,8042.1,7977.75,0.8001641362330735
1214,LUNCH BAG APPLE DESIGN,1.45,1,1.45,2920.0,4234.0,4232.55,0.03424657534246575
1215,LUNCH BAG APPLE DESIGN,1.65,36,59.400000000000006,6175.0,10188.75,10129.35,0.5829959514170041
1216,LUNCH BAG CARS BLUE,1.45,128,185.60000000000002,1761.0,2553.45,2367.85,7.268597387847814
1217,LUNCH BAG CARS BLUE,1.65,86,141.9,6864.0,11325.6,11183.7,1.252913752913753
1218,LUNCH BAG DOILEY PATTERN,1.65,3,4.949999999999999,4007.0,6611.55,6606.6,0.07486897928624905
1219,LUNCH BAG DOLLY GIRL DESIGN,1.65,12,19.8,3478.0,5738.7,5718.9,0.3450258769407705
1220,LUNCH BAG PAISLEY PARK,1.65,10,16.5,2080.0,3432.0,3415.5,0.4807692307692308
1221,LUNCH BAG PINK POLKADOT,1.45,73,105.85,1560.0,2262.0,2156.15,4.67948717948718
1222,LUNCH BAG PINK POLKADOT,1.65,79,130.35,6542.0,10794.3,10663.949999999999,1.2075817792723937
1223,LUNCH BAG RED RETROSPOT,1.45,361,523.45,4030.0,5843.5,5320.05,8.957816377171216
1224,LUNCH BAG RED RETROSPOT,1.65,83,136.95,9334.0,15401.1,15264.15,0.8892221984143989
1225,LUNCH BAG SPACEBOY DESIGN,1.45,100,145.0,830.0,1203.5,1058.5,12.048192771084338
1226,LUNCH BAG SPACEBOY DESIGN,1.65,49,80.85,6122.0,10101.3,10020.449999999999,0.8003920287487748
1227,LUNCH BAG SUKI  DESIGN,1.45,1,1.45,500.0,725.0,723.55,0.2
1228,LUNCH BAG SUKI  DESIGN,1.65,3,4.949999999999999,1031.0,1701.15,1696.2,0.2909796314258002
1229,LUNCH BAG SUKI DESIGN,1.45,101,146.45,1400.0,2030.0,1883.55,7.214285714285714
1230,LUNCH BAG SUKI DESIGN,1.65,32,52.8,6561.0,10825.65,10772.85,0.4877305288827923
1231,LUNCH BAG VINTAGE DOILY,1.45,1,1.45,800.0,1160.0,1158.55,0.125
1232,LUNCH BAG VINTAGE DOILY,1.65,15,24.75,4428.0,7306.2,7281.45,0.33875338753387535
1233,LUNCH BAG VINTAGE LEAF DESIGN,1.45,53,76.85,1224.0,1774.8,1697.95,4.330065359477124
1234,LUNCH BAG VINTAGE LEAF DESIGN,1.65,10,16.5,4375.0,7218.75,7202.25,0.2285714285714286
1235,LUNCH BAG WOODLAND,1.45,2,2.9,1000.0,1450.0,1447.1,0.2
1236,LUNCH BAG WOODLAND,1.65,70,115.5,4905.0,8093.25,7977.75,1.4271151885830784
1237,LUNCH BOX I LOVE LONDON,1.65,273,450.45,7148.0,11794.199999999999,11343.749999999998,3.8192501398992724
1238,LUNCH BOX I LOVE LONDON,1.95,42,81.89999999999999,2642.0,5151.9,5070.0,1.5897047691143074
1239,LUNCH BOX WITH CUTLERY RETROSPOT,2.55,9,22.950000000000003,782.0,1994.1000000000001,1971.15,1.1508951406649617
1240,MA CAMPAGNE CUTLERY BOX,12.75,14,178.5,23.0,293.25,114.75,60.86956521739131
1241,MA CAMPAGNE CUTLERY BOX,14.95,7,104.64999999999999,104.0,1554.8,1450.1499999999999,6.730769230769231
1242,MAGIC DRAWING SLATE BAKE A CAKE,0.42,24,10.08,468.0,196.56,186.48,5.128205128205128
1243,MAGIC DRAWING SLATE BUNNIES,0.42,48,20.16,896.0,376.32,356.15999999999997,5.357142857142857
1244,MAGIC DRAWING SLATE DINOSAUR,0.42,48,20.16,1650.0,693.0,672.84,2.909090909090909
1245,MAGIC DRAWING SLATE DOLLY GIRL,0.42,24,10.08,1854.0,778.68,768.5999999999999,1.2944983818770228
1246,MAGIC DRAWING SLATE PURDEY,0.36,120,43.2,1328.0,478.08,434.88,9.036144578313253
1247,MAGIC DRAWING SLATE SPACEBOY,0.42,2,0.84,2244.0,942.48,941.64,0.08912655971479501
1248,MAGIC TREE -PAPER FLOWERS,0.85,1,0.85,712.0,605.1999999999999,604.3499999999999,0.1404494382022472
1249,MAGNETS PACK OF 4 CHILDHOOD MEMORY,1.25,6,7.5,312.0,390.0,382.5,1.9230769230769231
1250,MAGNETS PACK OF 4 HOME SWEET HOME,0.39,1,0.39,910.0,354.9,354.51,0.10989010989010989
1251,MAGNETS PACK OF 4 RETRO PHOTO,1.25,6,7.5,59.0,73.75,66.25,10.16949152542373
1252,MAGNETS PACK OF 4 SWALLOWS,1.25,18,22.5,350.0,437.5,415.0,5.142857142857142
1253,MAGNETS PACK OF 4 VINTAGE COLLAGE,1.25,6,7.5,242.0,302.5,295.0,2.479338842975207
1254,MAGNETS PACK OF 4 VINTAGE LABELS,1.25,6,7.5,83.0,103.75,96.25,7.228915662650602
1255,MAKE YOUR OWN FLOWERPOWER CARD KIT,2.95,6,17.700000000000003,399.0,1177.0500000000002,1159.3500000000001,1.5037593984962405
1256,MAKE YOUR OWN MONSOON CARD KIT,2.95,8,23.6,402.0,1185.9,1162.3000000000002,1.9900497512437811
1257,MAKE YOUR OWN PLAYTIME CARD KIT,2.95,2,5.9,190.0,560.5000000000001,554.6000000000001,1.0526315789473684
1258,MAN FLU METAL SIGN,2.1,13,27.300000000000004,685.0,1438.5000000000002,1411.2000000000003,1.897810218978102
1259,MARIE ANTOINETTE TRINKET BOX GOLD,3.0,24,72.0,24.0,72.0,0.0,100.0
1260,MARIE ANTOINETTE TRINKET BOX GOLD,12.5,4,50.0,23.0,287.5,237.5,17.391304347826086
1261,MARIE ANTOINETTE TRINKET BOX SILVER,3.0,24,72.0,24.0,72.0,0.0,100.0
1262,MEDINA STAMPED METAL STOOL,39.95,1,39.95,23.0,918.85,878.9,4.3478260869565215
1263,MEDIUM CERAMIC TOP STORAGE JAR,1.04,74464,77442.56000000001,75511.0,78531.44,1088.87999999999,98.61344704745004
1264,MEDIUM CERAMIC TOP STORAGE JAR,1.25,3,3.75,1408.0,1760.0,1756.25,0.2130681818181818
1265,MEDIUM PARLOUR PICTURE FRAME,4.15,2,8.3,96.0,398.40000000000003,390.1,2.083333333333333
1266,MEDIUM WHITE/PINK ROSE ART FLOWER,1.69,3,5.07,31.0,52.39,47.32,9.67741935483871
1267,MEMO BOARD COTTAGE DESIGN,4.95,5,24.75,531.0,2628.4500000000003,2603.7000000000003,0.9416195856873822
1268,MEMO BOARD RETROSPOT  DESIGN,4.25,1,4.25,160.0,680.0,675.75,0.625
1269,MEMO BOARD RETROSPOT  DESIGN,4.95,3,14.850000000000001,788.0,3900.6,3885.75,0.3807106598984772
1270,METAL 4 HOOK HANGER FRENCH CHATEAU,2.75,64,176.0,224.0,616.0,440.0,28.57142857142857
1271,METAL 4 HOOK HANGER FRENCH CHATEAU,2.95,2,5.9,1002.0,2955.9,2950.0,0.19960079840319359
1272,METAL 4 HOOK HANGER FRENCH CHATEAU,3.29,1,3.29,300.0,987.0,983.71,0.33333333333333337
1273,METAL DECORATION NAUGHTY CHILDREN,0.85,6,5.1,924.0,785.4,780.3,0.6493506493506493
1274,METAL MERRY CHRISTMAS WREATH,1.95,6,11.7,414.0,807.3,795.5999999999999,1.4492753623188406
1275,METAL RABBIT LADDER EASTER,0.85,4,3.4,62.0,52.699999999999996,49.3,6.451612903225806
1276,METAL SIGN CUPCAKE SINGLE HOOK,0.42,20,8.4,280.0,117.60000000000001,109.2,7.142857142857142
1277,METAL SIGN DROP YOUR PANTS,2.89,6,17.34,710.0,2051.9,2034.5600000000002,0.8450704225352111
1278,METAL SIGN HIS DINNER IS SERVED,0.85,12,10.2,72.0,61.199999999999996,51.0,16.666666666666664
1279,METAL SIGN TAKE IT OR LEAVE IT,2.95,12,35.400000000000006,1278.0,3770.1000000000004,3734.7000000000003,0.9389671361502347
1280,"METAL SIGN,CUPCAKE SINGLE HOOK",0.42,40,16.8,440.0,184.8,168.0,9.090909090909092
1281,MIDNIGHT GLAMOUR SCARF KNITTING KIT,1.25,3,3.75,249.0,311.25,307.5,1.2048192771084338
1282,MILK MAIDS MUG,1.65,8,13.2,192.0,316.79999999999995,303.59999999999997,4.166666666666666
1283,MILK PAN BLUE POLKADOT,3.75,1,3.75,40.0,150.0,146.25,2.5
1284,MILK PAN RED RETROSPOT,3.75,1,3.75,150.0,562.5,558.75,0.6666666666666667
1285,MINI  ZINC GARDEN DECORATIONS,0.85,1,0.85,89.0,75.64999999999999,74.8,1.1235955056179776
1286,MINI CAKE STAND  HANGING STRAWBERY,1.45,1,1.45,288.0,417.6,416.15000000000003,0.3472222222222222
1287,MINI CAKE STAND  HANGING STRAWBERY,1.65,22,36.3,541.0,892.65,856.35,4.066543438077634
1288,MINI CAKE STAND T-LIGHT HOLDER,0.42,21,8.82,696.0,292.32,283.5,3.0172413793103448
1289,MINI CAKE STAND WITH HANGING CAKES,1.25,56,70.0,528.0,660.0,590.0,10.606060606060606
1290,MINI CAKE STAND WITH HANGING CAKES,1.45,13,18.849999999999998,631.0,914.9499999999999,896.0999999999999,2.0602218700475436
1291,MINI JIGSAW CIRCUS PARADE,0.42,1,0.42,482.0,202.44,202.02,0.2074688796680498
1292,MINI JIGSAW DINOSAUR,0.42,2,0.84,359.0,150.78,149.94,0.5571030640668524
1293,MINI JIGSAW SPACEBOY,0.42,43,18.06,1010.0,424.2,406.14,4.257425742574258
1294,MINI PAINT SET VINTAGE,0.65,112,72.8,9579.0,6226.349999999999,6153.549999999999,1.1692243449211817
1295,MINI PLAYING CARDS DOLLY GIRL,0.42,2,0.84,1545.0,648.9,648.06,0.12944983818770225
1296,MINI WOODEN HAPPY BIRTHDAY GARLAND,1.69,25,42.25,871.0,1471.99,1429.74,2.8702640642939152
1297,MINIATURE ANTIQUE ROSE HOOK IVORY,0.83,13,10.79,1840.0,1527.2,1516.41,0.7065217391304348
1298,MINT DINER WALL CLOCK,8.5,1,8.5,261.0,2218.5,2210.0,0.38314176245210724
1299,MINT KITCHEN SCALES,0.76,1,0.76,1.0,0.76,0.0,100.0
1300,MINT KITCHEN SCALES,7.65,1,7.65,72.0,550.8,543.15,1.3888888888888888
1301,MINT KITCHEN SCALES,8.5,7,59.5,425.0,3612.5,3553.0,1.647058823529412
1302,MIRROR CORNICE,14.95,4,59.8,62.0,926.9,867.1,6.451612903225806
1303,MIRROR MOSAIC GOBLET CANDLE HOLDER,0.95,240,228.0,480.0,456.0,228.0,50.0
1304,MIRROR MOSAIC HURRICANE LAMP,1.25,120,150.0,240.0,300.0,150.0,50.0
1305,MIRROR MOSAIC HURRICANE LAMP,6.75,1,6.75,14.0,94.5,87.75,7.142857142857142
1306,MIRROR MOSAIC T-LIGHT HOLDER,0.39,720,280.8,1440.0,561.6,280.8,50.0
1307,MIRROR MOSAIC T-LIGHT HOLDER ROUND,0.39,468,182.52,936.0,365.04,182.52,50.0
1309,MIRROR MOSAIC T-LIGHT HOLDER ROUND,1.65,2,3.3,73.0,120.45,117.15,2.73972602739726
1310,MIRROR MOSAIC VOTIVE HOLDER,0.39,324,126.36,648.0,252.72,126.36,50.0
1311,MIRRORED DISCO BALL,4.95,33,163.35,392.0,1940.4,1777.0500000000002,8.418367346938775
1312,MIRRORED DISCO BALL,5.95,9,53.55,238.0,1416.1000000000001,1362.5500000000002,3.7815126050420167
1313,MIRRORED WALL ART SNOWFLAKES,0.75,12,9.0,471.0,353.25,344.25,2.547770700636943
1314,MISTLETOE HEART WREATH CREAM,4.15,6,24.9,398.0,1651.7,1626.8,1.507537688442211
1315,MISTLETOE HEART WREATH GREEN,4.15,9,37.35,618.0,2564.7000000000003,2527.3500000000004,1.4563106796116505
1316,MOBILE VINTAGE HEARTS,4.95,10,49.5,83.0,410.85,361.35,12.048192771084338
1317,MODERN FLORAL STATIONERY SET,1.25,12,15.0,792.0,990.0,975.0,1.5151515151515151
1318,MONEY BOX BISCUITS DESIGN,1.25,1,1.25,154.0,192.5,191.25,0.6493506493506493
1319,MONEY BOX KINGS CHOICE DESIGN,1.25,1,1.25,198.0,247.5,246.25,0.5050505050505051
1320,MOODY GIRL DOOR HANGER,0.39,24,9.36,1256.0,489.84,480.47999999999996,1.910828025477707
1321,MOROCCAN BEATEN METAL DISH,9.95,3,29.85,9.0,89.55,59.699999999999996,33.33333333333333
1322,MOROCCAN TEA GLASS,0.65,8,5.2,2376.0,1544.3999999999999,1539.1999999999998,0.33670033670033667
1323,MOROCCAN TEA GLASS,0.85,1,0.85,1312.0,1115.2,1114.3500000000001,0.07621951219512195
1324,MOTHER'S KITCHEN SPOON REST,3.75,6,22.5,120.0,450.0,427.5,5.0
1325,MOTORING TISSUE BOX,1.25,12,15.0,74.0,92.5,77.5,16.216216216216218
1326,MR ROBOT SOFT TOY,6.95,4,27.8,27.0,187.65,159.85,14.814814814814813
1327,MRS ROBOT SOFT TOY,1.95,1,1.95,97.0,189.14999999999998,187.2,1.0309278350515463
1328,MULTI COLOUR SILVER T-LIGHT HOLDER,0.85,91,77.35,5785.0,4917.25,4839.9,1.5730337078651686
1329,MULTICOLOUR 3D BALLS GARLAND,2.55,20,51.0,179.0,456.45,405.45,11.1731843575419
1330,MULTICOLOUR HONEYCOMB FAN,0.39,17,6.63,597.0,232.82999999999998,226.2,2.8475711892797317
1332,MULTICOLOUR SPRING FLOWER MUG,0.39,3,1.17,1882.0,733.9799999999999,732.81,0.1594048884165781
1333,MUM'S KITCHEN CLOCK,4.95,1,4.95,59.0,292.05,287.1,1.694915254237288
1334,MUSICAL ZINC HEART DECORATION,0.85,34,28.9,264.0,224.39999999999998,195.49999999999997,12.878787878787879
1335,NATURAL HANGING QUILTED HEARTS,0.83,16,13.280000000000001,640.0,531.2,517.9200000000001,2.5
1336,NATURAL SLATE CHALKBOARD LARGE,4.25,14,59.5,506.0,2150.5,2091.0,2.766798418972332
1337,NATURAL SLATE CHALKBOARD LARGE,4.95,48,237.60000000000002,890.0,4405.5,4167.9,5.393258426966292
1338,NATURAL SLATE HEART CHALKBOARD,2.55,2,5.1,2336.0,5956.8,5951.7,0.08561643835616438
1339,NATURAL SLATE HEART CHALKBOARD,2.95,50,147.50000000000003,5700.0,16815.000000000004,16667.500000000004,0.8771929824561403
1340,NATURAL SLATE RECTANGLE CHALKBOARD,1.65,35,57.74999999999999,1947.0,3212.5499999999997,3154.7999999999997,1.7976373908577297
1341,NEW BAROQUE JEWELLERY BOX,7.95,1,7.95,28.0,222.6,214.65,3.571428571428571
1342,NO JUNK MAIL METAL SIGN,0.39,12,4.68,1287.0,501.92999999999995,497.24999999999994,0.9324009324009324
1343,NO SINGING METAL SIGN,1.85,26,48.10000000000001,1092.0,2020.2000000000003,1972.1000000000004,2.380952380952381
1344,NO SINGING METAL SIGN,2.1,12,25.2,2232.0,4687.200000000001,4662.000000000001,0.5376344086021506
1345,NOEL GARLAND PAINTED ZINC,1.45,12,17.4,12.0,17.4,0.0,100.0
1346,NOEL WOODEN BLOCK LETTERS,5.95,1,5.95,186.0,1106.7,1100.75,0.5376344086021506
1347,NOVELTY BISCUITS CAKE STAND 3 TIER,8.5,14,119.0,72.0,612.0,493.0,19.444444444444446
1348,NOVELTY BISCUITS CAKE STAND 3 TIER,9.95,11,109.44999999999999,222.0,2208.9,2099.4500000000003,4.954954954954955
1349,NUMBER TILE COTTAGE GARDEN 1,1.95,1,1.95,61.0,118.95,117.0,1.639344262295082
1350,NUMBER TILE COTTAGE GARDEN 9,1.95,1,1.95,48.0,93.6,91.64999999999999,2.083333333333333
1351,NUMBER TILE COTTAGE GARDEN No,2.1,1,2.1,52.0,109.2,107.10000000000001,1.9230769230769231
1352,NUMBER TILE VINTAGE FONT 3,1.95,1,1.95,31.0,60.449999999999996,58.49999999999999,3.225806451612903
1353,NUMBER TILE VINTAGE FONT 4,1.95,1,1.95,26.0,50.699999999999996,48.74999999999999,3.8461538461538463
1354,NUMBER TILE VINTAGE FONT 6,1.95,1,1.95,27.0,52.65,50.699999999999996,3.7037037037037033
1355,Next Day Carriage,15.0,1,15.0,78.0,1170.0,1155.0,1.282051282051282
1356,OCEAN SCENT CANDLE IN JEWELLED BOX,1.0,198,198.0,198.0,198.0,0.0,100.0
1357,OCEAN SCENT CANDLE IN JEWELLED BOX,4.25,2,8.5,226.0,960.5,952.0,0.8849557522123894
1358,OFFICE MUG WARMER BLACK+SILVER,2.95,7,20.650000000000002,169.0,498.55000000000007,477.9000000000001,4.142011834319527
1359,OFFICE MUG WARMER PINK,2.55,250,637.5,255.0,650.25,12.75,98.0392156862745
1360,OPEN CLOSED METAL SIGN,4.95,6,29.700000000000003,717.0,3549.15,3519.4500000000003,0.8368200836820083
1361,ORANGE SCENTED SET/9 T-LIGHTS,0.85,10,8.5,434.0,368.9,360.4,2.3041474654377883
1362,ORANGE VOTIVE CANDLE,0.29,48,13.919999999999998,432.0,125.27999999999999,111.35999999999999,11.11111111111111
1363,ORGANISER WOOD ANTIQUE WHITE,8.5,8,68.0,103.0,875.5,807.5,7.766990291262135
1364,OVAL WALL MIRROR DIAMANTE,9.95,5,49.75,88.0,875.5999999999999,825.8499999999999,5.681818181818182
1365,OVEN MITT APPLES DESIGN,1.45,21,30.45,685.0,993.25,962.8,3.065693430656934
1366,OVERNIGHT BAG VINTAGE ROSE PAISLEY,4.95,6,29.7,183.0,905.85,876.15,3.278688524590164
1367,PACK 3 BOXES CHRISTMAS PANETTONE,1.95,6,11.7,30.0,58.5,46.8,20.0
1368,PACK 3 BOXES CHRISTMAS PANNETONE,1.95,15,29.25,739.0,1441.05,1411.8,2.029769959404601
1369,PACK OF 12 BLUE PAISLEY TISSUES,0.29,24,6.959999999999999,1100.0,318.99999999999994,312.03999999999996,2.181818181818182
1370,PACK OF 12 CHRISTMAS FUN CARDS,2.95,23,67.85000000000001,49.0,144.55,76.7,46.93877551020408
1371,PACK OF 12 CIRCUS PARADE TISSUES,0.39,12,4.68,194.0,75.66,70.97999999999999,6.185567010309279
1372,PACK OF 12 COLOURED PENCILS,0.85,12,10.2,1877.0,1595.4499999999998,1585.2499999999998,0.6393180607352157
1373,PACK OF 12 DOLLY GIRL TISSUES,0.39,8,3.12,987.0,384.92999999999995,381.80999999999995,0.8105369807497468
1374,PACK OF 12 LONDON TISSUES,0.29,12,3.4799999999999995,8808.0,2554.3199999999997,2550.8399999999997,0.13623978201634876
1375,PACK OF 12 LONDON TISSUES,0.39,12,4.68,2283.0,890.37,885.69,0.5256241787122208
1376,PACK OF 12 PINK PAISLEY TISSUES,0.29,24,6.959999999999999,1242.0,360.17999999999995,353.21999999999997,1.932367149758454
1377,PACK OF 12 RED RETROSPOT TISSUES,0.29,96,27.839999999999996,2660.0,771.3999999999999,743.5599999999998,3.6090225563909777
1378,PACK OF 12 SPACEBOY TISSUES,0.39,36,14.04,868.0,338.52,324.47999999999996,4.147465437788019
1379,PACK OF 12 SUKI TISSUES,0.39,1,0.39,997.0,388.83,388.44,0.10030090270812438
1380,PACK OF 12 TRADITIONAL CRAYONS,0.42,2,0.84,4296.0,1804.32,1803.48,0.04655493482309125
1381,PACK OF 12 VINTAGE CHRISTMAS TISSUE,0.39,24,9.36,2079.0,810.81,801.4499999999999,1.1544011544011543
1382,PACK OF 12 VINTAGE DOILY TISSUES,0.39,36,14.04,1330.0,518.6999999999999,504.6599999999999,2.706766917293233
1383,PACK OF 12 WOODLAND TISSUES,0.39,7,2.73,500.0,195.0,192.27,1.4000000000000001
1384,PACK OF 20 NAPKINS PANTRY DESIGN,0.85,16,13.6,3384.0,2876.3999999999996,2862.7999999999997,0.4728132387706856
1385,PACK OF 20 SPACEBOY NAPKINS,0.85,10,8.5,369.0,313.65,305.15,2.710027100271003
1386,PACK OF 6 BIRDY GIFT TAGS,1.25,45,56.25,3145.0,3931.25,3875.0,1.4308426073131957
1387,PACK OF 6 HANDBAG GIFT BOXES,2.55,2,5.1,363.0,925.6500000000001,920.5500000000001,0.5509641873278237
1388,PACK OF 6 LARGE FRUIT STRAWS,0.62,36,22.32,1189.0,737.1800000000001,714.86,3.027754415475189
1389,PACK OF 6 PANETTONE GIFT BOXES,2.55,14,35.699999999999996,69.0,175.95,140.25,20.28985507246377
1390,PACK OF 6 SANDCASTLE FLAGS ASSORTED,0.85,13,11.049999999999999,1792.0,1523.1999999999998,1512.1499999999999,0.7254464285714286
1391,PACK OF 6 SKULL PAPER CUPS,0.65,1,0.65,585.0,380.25,379.6,0.17094017094017094
1392,PACK OF 6 SMALL FRUIT STRAWS,0.42,72,30.240000000000002,1022.0,429.24,399.0,7.045009784735812
1393,PACK OF 6 SWEETIE GIFT BOXES,2.55,12,30.6,356.0,907.8000000000001,877.2,3.3707865168539324
1394,PACK OF 60 DINOSAUR CAKE CASES,0.42,23,9.66,1584.0,665.28,655.62,1.452020202020202
1395,PACK OF 60 DINOSAUR CAKE CASES,0.55,48,26.4,5510.0,3030.5,3004.1,0.8711433756805809
1396,PACK OF 60 MUSHROOM CAKE CASES,0.55,5,2.75,1661.0,913.55,910.8,0.30102347983142685
1397,PACK OF 60 PINK PAISLEY CAKE CASES,0.55,77,42.349999999999994,8624.0,4743.2,4700.849999999999,0.8928571428571428
1398,PACK OF 60 SPACEBOY CAKE CASES,0.55,22,12.1,3489.0,1918.9499999999998,1906.85,0.6305531670965893
1399,PACK OF 72 RETROSPOT CAKE CASES,0.42,74,31.08,6000.0,2520.0,2488.92,1.2333333333333334
1400,PACK OF 72 RETROSPOT CAKE CASES,0.55,186,102.3,12330.0,6781.5,6679.2,1.508515815085158
1401,PACK OF 72 SKULL CAKE CASES,0.55,48,26.4,5588.0,3073.4,3047.0,0.8589835361488906
1402,PACK OF SIX LED TEA LIGHTS,2.49,96,239.04,384.0,956.16,717.12,25.0
1403,PACKING CHARGE,7.5,1,7.5,12.0,90.0,82.5,8.333333333333332
1404,PAINT YOUR OWN CANVAS SET,1.45,270,391.5,816.0,1183.2,791.7,33.088235294117645
1405,PAINT YOUR OWN CANVAS SET,1.65,3,4.949999999999999,1400.0,2309.9999999999995,2305.0499999999997,0.2142857142857143
1406,PAINTED METAL PEARS ASSORTED,1.69,9,15.209999999999999,3868.0,6536.92,6521.71,0.2326783867631851
1407,PAINTED METAL STAR WITH HOLLY BELLS,1.45,24,34.8,125.0,181.25,146.45,19.2
1408,PAINTED YELLOW WOODEN DAISY,0.85,13,11.05,259.0,220.14999999999998,209.09999999999997,5.019305019305019
1409,PANTRY 3 HOOK ROLLING PIN HANGER,3.75,3,11.25,148.0,555.0,543.75,2.027027027027027
1410,PANTRY APPLE CORER,1.45,6,8.7,220.0,319.0,310.3,2.727272727272727
1411,PANTRY CHOPPING BOARD,4.95,4,19.8,69.0,341.55,321.75,5.797101449275362
1412,PANTRY CHOPPING BOARD,5.06,756,3825.36,756.0,3825.36,0.0,100.0
1413,PANTRY CHOPPING BOARD,5.15,186,957.9,186.0,957.9,0.0,100.0
1414,PANTRY MAGNETIC  SHOPPING LIST,1.45,23,33.349999999999994,1718.0,2491.1,2457.75,1.3387660069848661
1415,PANTRY PASTRY BRUSH,1.25,24,30.0,732.0,915.0,885.0,3.278688524590164
1416,PANTRY ROLLING PIN,3.75,36,135.0,725.0,2718.75,2583.75,4.9655172413793105
1417,PANTRY SCRUBBING BRUSH,1.65,32,52.8,1317.0,2173.0499999999997,2120.2499999999995,2.4297646165527715
1418,PANTRY WASHING UP BRUSH,1.45,19,27.549999999999997,1686.0,2444.7,2417.1499999999996,1.1269276393831553
1419,PAPER BUNTING COLOURED LACE,2.95,16,47.2,792.0,2336.4,2289.2000000000003,2.0202020202020203
1420,PAPER BUNTING PAISLEY PARK,2.95,6,17.700000000000003,75.0,221.25000000000003,203.55,8.0
1421,PAPER BUNTING RETROSPOT,2.55,40,102.0,3080.0,7854.0,7752.0,1.2987012987012987
1422,PAPER BUNTING RETROSPOT,2.95,13,38.35,2483.0,7324.850000000001,7286.500000000001,0.5235602094240838
1423,PAPER BUNTING WHITE LACE,2.55,1,2.55,2130.0,5431.5,5428.95,0.046948356807511735
1424,PAPER BUNTING WHITE LACE,2.95,57,168.15000000000003,1454.0,4289.3,4121.150000000001,3.9202200825309492
1425,PAPER CHAIN KIT 50'S CHRISTMAS,2.55,320,816.0,9078.0,23148.9,22332.9,3.5250055078211058
1426,PAPER CHAIN KIT 50'S CHRISTMAS,2.95,13,38.35000000000001,5557.0,16393.15,16354.800000000001,0.23393917581428827
1427,PAPER CHAIN KIT EMPIRE,2.95,41,120.95,2341.0,6905.950000000001,6785.000000000001,1.751388295600171
1428,PAPER CHAIN KIT LONDON,2.95,4,11.8,314.0,926.3000000000001,914.5000000000001,1.2738853503184715
1429,PAPER CHAIN KIT RETROSPOT,2.95,47,138.65,2390.0,7050.500000000001,6911.850000000001,1.9665271966527196
1430,PAPER CHAIN KIT VINTAGE CHRISTMAS,2.55,60,153.0,4994.0,12734.7,12581.7,1.2014417300760913
1431,PAPER CHAIN KIT VINTAGE CHRISTMAS,2.95,91,268.45000000000005,3669.0,10823.550000000001,10555.1,2.4802398473698557
1432,"PAPER CRAFT , LITTLE BIRDIE",2.08,80995,168469.6,80995.0,168469.6,0.0,100.0
1433,PAPER LANTERN 5 POINT STAR MOON,4.15,20,83.0,96.0,398.40000000000003,315.40000000000003,20.833333333333336
1434,PAPER LANTERN 7 POINT SNOW STAR,6.65,10,66.5,99.0,658.35,591.85,10.1010101010101
1435,PAPER LANTERN 9 POINT SNOW STAR,4.15,24,99.6,234.0,971.1,871.5,10.256410256410255
1436,PAPER POCKET TRAVELING FAN,0.07,1223,85.61000000000001,2880.0,201.60000000000002,115.99000000000001,42.46527777777778
1437,PAPER POCKET TRAVELING FAN,0.14,162,22.680000000000003,3347.0,468.58000000000004,445.90000000000003,4.840155363011652
1438,PAPERWEIGHT KINGS CHOICE,2.55,6,15.3,33.0,84.15,68.85000000000001,18.181818181818183
1439,PAPERWEIGHT SAVE THE PLANET,2.1,100,210.0,100.0,210.0,0.0,100.0
1440,PAPERWEIGHT VINTAGE COLLAGE,2.55,4,10.2,147.0,374.85,364.65000000000003,2.7210884353741496
1441,PARISIENNE CURIO CABINET,6.65,9,59.85000000000001,52.0,345.80000000000007,285.95000000000005,17.307692307692307
1442,PARISIENNE CURIO CABINET,7.5,22,165.0,302.0,2265.0,2100.0,7.28476821192053
1443,PARISIENNE JEWELLERY DRAWER,7.5,22,165.0,432.0,3240.0,3075.0,5.092592592592593
1444,PARISIENNE KEY CABINET,5.75,49,281.75,428.0,2461.0,2179.25,11.448598130841122
1445,PARISIENNE SEWING BOX,10.4,8,83.2,104.0,1081.6,998.3999999999999,7.6923076923076925
1446,PARISIENNE SEWING BOX,12.5,14,175.0,142.0,1775.0,1600.0,9.859154929577464
1447,PARLOUR CERAMIC WALL HOOK,4.15,34,141.10000000000002,366.0,1518.9,1377.8000000000002,9.289617486338798
1449,PARTY BUNTING,4.15,182,755.3000000000001,6295.0,26124.250000000004,25368.950000000004,2.891183478951549
